--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed  |    Rel. |    Aki    |    fik    | Acc. |         Ei           Ek         |               Configurations                  |      Terms     |  Ji   Jk  | gi   gk |Type|     TP  | Line  |
   Wavelength |    Int. |    s^-1   |           |      |        (eV)         (eV)        |                                               |                |           |         |    |    Ref. | Ref.  |
    Air (nm)  |    (?)  |           |           |      |                                 |                                               |                |           |         |    |         |       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    417.480   |     170 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    417.594   |      30 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    417.926   |     170 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    418.490   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    418.636   |      30 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    419.013   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    419.127   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    419.210   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    419.366   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    419.495   |      70 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    419.723   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    419.852   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    420.359   |      60 | 5.7e+06   | 1.5e-02   | D    |    2.543833    -     5.492497   |          3d5.(4G).4s - 3d4.(a 3F).4s.4p.(3P*) |  a 5G  - y 5G* |   2 - 2   |  5 - 5  |    |     10n |    1  |
    420.447   |      40 | 3.1e+07   | 7.0e-02   | D    |    3.979565    -     6.927614   |              3d4.4s2 - 3d4.(1I).4s.4p.(3P*)   |  a 1I  - u 3H* |   6 - 5   | 13 - 11 |    |      18 |    1  |
    420.836   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    420.937   |     110 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    420.976   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    421.135   |      40 | 7.1e+05   | 1.9e-03   | D    |    2.982577    -     5.925678   |              3d4.4s2 - 3d4.(3G).4s.4p.(3P*)   |  a 3H  - x 5H* |   5 - 5   | 11 - 11 |    |      18 |    1  |
    421.636   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    421.763   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    422.157   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    422.273   |      40 | 5.6e+06   | 2.1e-02   | D    |    3.012802    -     5.948083   |          3d5.(4D).4s - 3d5.(4G).4p            |  b 5D  - u 5F* |   2 - 3   |  5 - 7  |    |      18 |    1  |
    423.896   |      40 | 7.4e+06   | 2.0e-02   | D    |    3.010626    -     5.934687   |          3d5.(4D).4s - 3d5.(4P).4p            |  b 5D  - v 5D* |   4 - 4   |  9 - 9  |    |     10n |    1  |
    424.070   |      60 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    425.435   |   20000 | 3.15e+07  | 1.10e-01  | B    |    0.0         -     2.913485   |          3d5.(6S).4s - 3d5.(6S).4p            |  a 7S  - z 7P* |   3 - 4   |  7 - 9  |    | 1,4,5,6 |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    425.550   |      70 | 6.1e+06   | 1.9e-02   | D    |    3.000446    -     5.913132   |              3d4.4s2 - 3d4.(3H).4s.4p.(3P*)   |  a 3H  - z 3I* |   6 - 7   | 13 - 15 |    |      13 |    1  |
    426.135   |      60 | 6.6e+06   | 2.2e-02   | D    |    2.913485    -     5.822171   |          3d5.(6S).4p - 3d4.4s.5s              |  z 7P* - f 7D  |   4 - 5   |  9 - 11 |    |      13 |    1  |
    426.314   |     110 | 6.4e+07   | 2.0e-01   | D    |    3.849461    -     6.756924   |          3d5.(2I).4s - 3d5.(2I).4p            |  a 3I  - z 3K* |   7 - 8   | 15 - 17 |    |      13 |    1  |
    427.106   |      30 | 5.3e+06   | 1.7e-02   | D    |    3.104392    -     6.006458   |          3d5.(4G).4s - 3d4.(3H).4s.4p.(3P*)   |  a 3G  - y 3H* |   5 - 6   | 11 - 13 |    |     10n |    1  |
    427.291   |      40 | 4.7e+06   | 1.7e-02   | D    |    2.899538    -     5.800360   |          3d5.(6S).4p - 3d4.4s.5s              |  z 7P* - f 7D  |   3 - 4   |  7 - 9  |    |      13 |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    427.480   |   16000 | 3.07e+07  | 8.42e-02  | B    |    0.0         -     2.899538   |          3d5.(6S).4s - 3d5.(6S).4p            |  a 7S  - z 7P* |   3 - 3   |  7 - 7  |    | 1,4,5,7 |    1  |
    428.040   |      85 | 4.7e+07   | 1.5e-01   | D    |    3.849626    -     6.745352   |          3d5.(2I).4s - 3d5.(2I).4p            |  a 3I  - z 3K* |   6 - 7   | 13 - 15 |    |     10n |    1  |
