--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed  |  Rel. |    Aki    |    fik    | Acc. |          Ei           Ek           |                   Configurations                      |      Terms     |  Ji   Jk  | gi   gk |Type|      TP  | Line  |
     Wavelength |  Int. |    s^-1   |           |      |         (eV)         (eV)          |                                                       |                |           |         |    |     Ref. | Ref.  |
      Air (nm)  |  (?)  |           |           |      |                                    |                                                       |                |           |         |    |          |       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      374.3362  |   400 | 2.60e+07  | 3.28e-02  | B+   |    0.9901105    -     4.3012774    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   2 - 1   |  5 - 3  |    |        3 |   56  |
      374.347   |    80 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      374.5561  |  6000 | 1.15e+07  | 3.39e-02  | B+   |    0.0872854    -     3.3965082    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   2 - 3   |  5 - 7  |    |        1 |   56  |
      374.5899  |  1200 | 7.33e+06  | 4.63e-02  | B+   |    0.121265     -     3.4301895    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   0 - 1   |  1 - 3  |    |        1 |   56  |
      374.8262  |  3000 | 9.15e+06  | 3.21e-02  | B+   |    0.110114     -     3.4169523    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   1 - 2   |  3 - 5  |    |        1 |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      374.8964  |    80 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      374.9485  |  3000 | 7.64e+07  | 1.61e-01  | B+   |    0.9146016    -     4.2203615    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   4 - 4   |  9 - 9  |    |        3 |   56  |
      375.8232  |  1500 | 6.34e+07  | 1.34e-01  | B+   |    0.9581568    -     4.2562222    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   3 - 3   |  7 - 7  |    |        3 |   56  |
      376.005   |   400 | 4.47e+06  | 1.09e-02  | B+   |    2.4040738    -     5.700545?    |              3p6.3d6.4s2 - 3p6.3d6.(3H).4s.4p.(3P*)   |  a 3H  - z 3I* |   6 - 7   | 13 - 15 |    |       28 |   56  |
      376.3788  |  1500 | 5.44e+07  | 1.16e-01  | B+   |    0.9901105    -     4.2833074    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   2 - 2   |  5 - 5  |    |        3 |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      376.554   |   400 | 9.8e+07   | 2.4e-01   | C+   |    3.2367194    -     6.528388?    |          3p6.3d7.(2H).4s - 3p6.3d7.(2H).4p            |  b 3H  - y 3I* |   6 - 7   | 13 - 15 |    |     4n,8 |   56  |
      376.7191  |   600 | 6.40e+07  | 1.36e-01  | B+   |    1.011055     -     4.3012774    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   1 - 1   |  3 - 3  |    |        3 |   56  |
      377.6452  |    60 | 1.5e+06   | 4.1e-03   | C    |    2.1759442    -     5.4580984    |          3p6.3d7.(4P).4s - 3p6.3d6.(a 3F).4s.4p.(3P*) |  a 5P  - 5D*   |   3 - 4   |  7 - 9  |    |    4n,5n |   56  |
      378.595   |   250 | 4.2e+06   | 1.1e-02   | C    |    2.4326944    -     5.706613     |              3p6.3d6.4s2 - 3p6.3d6.(3H).4s.4p.(3P*)   |  a 3H  - z 3I* |   5 - 6   | 11 - 13 |    |       5n |   56  |
      378.668   |   100 | 2.77e+06  | 1.99e-03  | B+   |    1.011055     -     4.284348     |          3p6.3d7.(4F).4s - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5F  - z 3P* |   1 - 0   |  3 - 1  |    |        3 |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      378.7880  |   250 | 1.29e+07  | 4.63e-02  | B+   |    1.011055     -     4.2833074    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   1 - 2   |  3 - 5  |    |        3 |   56  |
      379.0092  |   250 | 2.68e+06  | 3.46e-03  | B+   |    0.9901105    -     4.2604527    |          3p6.3d7.(4F).4s - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5F  - z 3P* |   2 - 1   |  5 - 3  |    |        3 |   56  |
      379.434   |   150 | 3.8e+06   | 1.0e-02   | C    |    2.4534295    -     5.720120     |              3p6.3d6.4s2 - 3p6.3d6.(3H).4s.4p.(3P*)   |  a 3H  - z 3I* |   4 - 5   |  9 - 11 |    |    4n,5n |   56  |
      379.5002  |   400 | 1.15e+07  | 3.48e-02  | B+   |    0.9901105    -     4.2562222    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   2 - 3   |  5 - 7  |    |        3 |   56  |
      379.7518  |   120 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      379.8511  |   250 | 3.23e+06  | 8.54e-03  | B+   |    0.9146016    -     4.1776962    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   4 - 5   |  9 - 11 |    |        3 |   56  |
      379.9547  |   400 | 7.32e+06  | 2.04e-02  | B+   |    0.9581568    -     4.2203615    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   3 - 4   |  7 - 9  |    |        3 |   56  |
      380.5345  |   200 | 9.8e+07   | 2.6e-01   | C+   |    3.3014019    -     6.5586361    |          3p6.3d7.(2H).4s - 3p6.3d7.(2H).4p            |  b 3H  - y 3I* |   4 - 5   |  9 - 11 |    |       4n |   56  |
      380.6696  |    80 | 5.4e+07   | 1.2e-01   | C+   |    3.2671122    -     6.5231906    |          3p6.3d7.(2H).4s - 3p6.3d7.(2H).4p            |  b 3H  - w 3H* |   5 - 5   | 11 - 11 |    |       4n |   56  |
      381.2964  |   600 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      381.3059  |    60 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      381.5840  |  1500 | 1.3e+08   | 2.2e-01   | C+   |    1.4848637    -     4.7331399    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 3F  - y 3D* |   4 - 3   |  9 - 7  |    |    4n,6n |   56  |
      382.0425  |  2500 | 6.68e+07  | 1.20e-01  | B+   |    0.8589955    -     4.1033730    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5D* |   5 - 4   | 11 - 9  |    |        3 |   56  |
      382.1179  |   150 | 7.0e+07   | 1.8e-01   | C+   |    3.2671122    -     6.5108499    |          3p6.3d7.(2H).4s - 3p6.3d7.(2H).4p            |  b 3H  - y 3I* |   5 - 6   | 11 - 13 |    |     4n,8 |   56  |
      382.4306  |    80 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      382.4444  |  2500 | 2.83e+06  | 4.83e-03  | B+   |    0.0          -     3.2409687    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5D* |   4 - 3   |  9 - 7  |    |        1 |   56  |
